"coord.join8","Lat","Long","Year","Parrotfish"
1498,20.9370842,-156.6935883,2008,0
1499,20.9371109,-156.6931152,2009,11.35459113
1500,20.93718529,-156.6937408,2008,0
1501,20.93721962,-156.6939087,2008,0
1502,20.93723106,-156.6938934,2008,0
1503,20.93727713,-156.6938296,2012,0
1504,20.93731946,-156.6939224,2011,0
1505,20.93736649,-156.6931458,2009,0
1506,20.93749356,-156.6931384,2012,0
1507,20.93750381,-156.6937714,2008,0
1508,20.93756187,-156.6937568,2012,11.6189535
1509,20.93757318,-156.6937182,2012,0
1510,20.93757788,-156.6935025,2011,55.167599564
1511,20.93758157,-156.6937218,2011,0
1512,20.93766594,-156.6935272,2008,80.2794643
1513,20.93768047,-156.6932637,2012,4.834562117
1514,20.93769264,-156.6939545,2009,0
1515,20.93769967,-156.6935394,2012,0
1516,20.93770027,-156.6936798,2008,22.70060936
1517,20.93787493,-156.6934313,2012,27.29422124
1518,20.93789438,-156.6939225,2012,0
1519,20.9379158,-156.6939392,2008,2.193076314
1520,20.93793678,-156.693512,2008,41.05085508
1521,20.9379668,-156.6936603,2010,4.834562117
1522,20.93797302,-156.693161,2008,0
1523,20.93798256,-156.6937408,2008,5.384989456
1524,20.93801172,-156.6936614,2012,16.03928172
1525,20.93803024,-156.6938934,2008,0
1526,20.9380455,-156.693161,2008,0
1527,20.93808365,-156.6940613,2008,0
1528,20.93808365,-156.6939392,2008,0
1529,20.93815041,-156.6936798,2008,40.18898028
1530,20.93815061,-156.6937637,2011,28.02072889
1531,20.93816243,-156.693852,2012,0
1532,20.93819427,-156.693985,2009,3.84647648
1533,20.93824072,-156.6935945,2011,9.72545486
1534,20.9382631,-156.6939984,2011,184.3182231
1535,20.93826335,-156.6937731,2012,0
1536,20.93827057,-156.6931305,2008,4.58986788
1537,20.93832207,-156.6937866,2008,0
1538,20.93832588,-156.6936188,2008,0.28540138
1539,20.93833091,-156.694207,2011,3.32142734
1541,20.93833351,-156.6935425,2008,0
1542,20.9383564,-156.6935577,2008,0.02154537
1543,20.93836403,-156.6937103,2009,0
1544,20.93839008,-156.69341,2012,0
1545,20.93840215,-156.6937905,2011,0
1546,20.93840266,-156.693739,2012,11.008072669
1547,20.93840978,-156.6940099,2012,0
1548,20.93842697,-156.6939392,2008,0
1549,20.93844223,-156.6938477,2008,0
1550,20.93845664,-156.6938442,2010,4.5329151525
1551,20.93855476,-156.6933899,2008,6.54058305
1552,20.93858153,-156.6936452,2010,0
1553,20.9386008,-156.6934795,2012,66.711039974
1554,20.93862578,-156.6931556,2010,0
1555,20.93864045,-156.6937804,2011,0
1556,20.93866015,-156.6939864,2012,16.809969
1557,20.93867493,-156.6931152,2008,3.84647648
1558,20.9387039,-156.6937934,2012,0
1559,20.9387188,-156.6934814,2009,0
1560,20.93879007,-156.6931032,2012,0
1561,20.93895149,-156.6933899,2009,17.207453758
1562,20.93898319,-156.6935936,2012,0
1563,20.93902779,-156.6934204,2008,2.417280789
1564,20.93903732,-156.6932678,2008,23.59335888
1565,20.93903923,-156.6931,2008,5.007263502
1566,20.93906975,-156.693634,2009,0.57080254
1567,20.93909645,-156.6931305,2009,83.23937675
1568,20.93910027,-156.6934967,2008,0
1569,20.93913078,-156.6938782,2009,28.32015758
1570,20.93913651,-156.6935272,2008,0.0072238446
1571,20.93914144,-156.6937773,2011,3.404427872
1572,20.93915485,-156.693063,2011,1.252186572
1573,20.93915921,-156.6934111,2011,0
1574,20.93918419,-156.6936951,2008,0
1575,20.93921661,-156.6930695,2008,1.6545057956
1576,20.93923569,-156.6937256,2008,0
1577,20.93927765,-156.6932831,2008,0
1578,20.93931198,-156.6939392,2008,12.08640664
1579,20.93934763,-156.6937617,2012,14.35398547
1580,20.93935585,-156.6930389,2008,3.84647648
1581,20.93936649,-156.6929941,2012,0
1582,20.93937492,-156.6932068,2008,5.4136462975
1583,20.93941689,-156.6936951,2008,0
1584,20.93948141,-156.693271,2012,0
1585,20.93950272,-156.6930237,2009,0
1586,20.93955612,-156.6931305,2009,9.578877517
1587,20.93963446,-156.6934701,2011,1.58143876
1588,20.93963814,-156.6935272,2008,0
1589,20.93968316,-156.6937266,2011,11.6189535
1590,20.93968582,-156.693512,2009,4.72002674
1591,20.93968836,-156.6938282,2011,0
1592,20.93971634,-156.6937561,2009,0.805760263
1593,20.93973538,-156.6931852,2011,6.80649516
1594,20.93976262,-156.6929686,2012,0
1595,20.93976539,-156.6935872,2010,0
1596,20.93977234,-156.6939112,2010,0
1597,20.93977259,-156.6933385,2010,56.51366338
1598,20.93977419,-156.6934504,2010,17.85916132
1599,20.93978936,-156.6934692,2011,1.58143876
1600,20.93980408,-156.6937256,2008,0
1601,20.93980408,-156.6935577,2008,0
1602,20.93980763,-156.6934967,2012,0
1603,20.93982372,-156.6938219,2012,0
1604,20.93982506,-156.6931763,2008,0.2579115882
1605,20.93984049,-156.6937823,2012,0
1606,20.93995094,-156.6934204,2008,0
1607,20.93997007,-156.693482,2012,3.3391638
1608,20.93997535,-156.6929641,2012,0
1609,20.94000244,-156.6938324,2009,0
1610,20.94002455,-156.6935649,2011,0
1611,20.94004015,-156.6932774,2011,0.805760263
1612,20.94008708,-156.6935521,2012,2.417280789
1613,20.94008842,-156.6935682,2010,0
1614,20.94008851,-156.6935271,2010,16.03928172
1615,20.94011013,-156.6936367,2011,0
1616,20.94020711,-156.6932904,2011,19.33813308
1617,20.94021606,-156.6932831,2009,0
1618,20.9402797,-156.6929005,2010,16.15496729
1619,20.94029999,-156.6932068,2008,0
1620,20.94033284,-156.6933551,2012,0
